state,country,date,cases,deaths
Cantabria,Spain,2021-01-30,22186,453
Castilla - La Mancha,Spain,2021-01-30,148459,4542
Castilla y Leon,Spain,2021-01-30,184134,5610
Catalonia,Spain,2021-01-30,492228,9404
Ceuta,Spain,2021-01-30,3904,71
Extremadura,Spain,2021-01-30,64241,1429
Galicia,Spain,2021-01-30,93195,1711
La Rioja,Spain,2021-01-30,25224,638
Madrid,Spain,2021-01-30,515790,12578
Melilla,Spain,2021-01-30,5957,51
Murcia,Spain,2021-01-30,97921,1066
Navarra,Spain,2021-01-30,48104,1028
Pais Vasco,Spain,2021-01-30,132768,3321
Unknown,Spain,2021-01-30,0,0
not provided,Sri Lanka,2021-01-30,63293,313
not provided,Sudan,2021-01-30,29291,1804
not provided,Suriname,2021-01-30,8403,154
Blekinge,Sweden,2021-01-30,7271,88
Dalarna,Sweden,2021-01-30,13304,297
Gavleborg,Sweden,2021-01-30,18123,462
Gotland,Sweden,2021-01-30,2602,42
Halland,Sweden,2021-01-30,18787,220
Jamtland Harjedalen,Sweden,2021-01-30,5777,100
Jonkoping,Sweden,2021-01-30,22272,453
Kalmar,Sweden,2021-01-30,9679,175
Kronoberg,Sweden,2021-01-30,12054,270
Norrbotten,Sweden,2021-01-30,10090,188
Orebro,Sweden,2021-01-30,16162,265
Ostergotland,Sweden,2021-01-30,19441,477
Skane,Sweden,2021-01-30,96713,1279
Sormland,Sweden,2021-01-30,11587,378
Stockholm,Sweden,2021-01-30,137344,3714
Uppsala,Sweden,2021-01-30,21478,447
Varmland,Sweden,2021-01-30,7663,156
Vasterbotten,Sweden,2021-01-30,10323,115
Vasternorrland,Sweden,2021-01-30,12991,353
Vastmanland,Sweden,2021-01-30,16665,299
Vastra Gotaland,Sweden,2021-01-30,96631,1813
not provided,Switzerland,2021-01-30,521320,9370
not provided,Syria,2021-01-30,13998,916
not provided,Taiwan*,2021-01-30,909,8
not provided,Tajikistan,2021-01-30,13308,90
not provided,Tanzania,2021-01-30,509,21
not provided,Thailand,2021-01-30,18782,77
not provided,Timor-Leste,2021-01-30,70,0
not provided,Togo,2021-01-30,5041,77
not provided,Trinidad and Tobago,2021-01-30,7542,134
not provided,Tunisia,2021-01-30,207468,6680
not provided,Turkey,2021-01-30,2470901,25865
not provided,Uganda,2021-01-30,39533,324
Cherkasy Oblast,Ukraine,2021-01-30,45631,547
Chernihiv Oblast,Ukraine,2021-01-30,33738,636
Chernivtsi Oblast,Ukraine,2021-01-30,45399,868
Crimea Republic*,Ukraine,2021-01-30,32212,752
Dnipropetrovsk Oblast,Ukraine,2021-01-30,67524,1806
Donetsk Oblast,Ukraine,2021-01-30,43927,902
Ivano-Frankivsk Oblast,Ukraine,2021-01-30,48269,935
Kharkiv Oblast,Ukraine,2021-01-30,77750,1362
Kherson Oblast,Ukraine,2021-01-30,20673,575
Khmelnytskyi Oblast,Ukraine,2021-01-30,43941,784
Kiev,Ukraine,2021-01-30,128174,2349
Kiev Oblast,Ukraine,2021-01-30,69032,1132
Kirovohrad Oblast,Ukraine,2021-01-30,9782,323
Luhansk Oblast,Ukraine,2021-01-30,13893,396
Lviv Oblast,Ukraine,2021-01-30,71041,2073
Mykolaiv Oblast,Ukraine,2021-01-30,38792,666
Odessa Oblast,Ukraine,2021-01-30,81221,1313
Poltava Oblast,Ukraine,2021-01-30,43093,883
Rivne Oblast,Ukraine,2021-01-30,45823,569
Sevastopol*,Ukraine,2021-01-30,9603,389
Sumy Oblast,Ukraine,2021-01-30,45737,617
Ternopil Oblast,Ukraine,2021-01-30,37699,526
Vinnytsia Oblast,Ukraine,2021-01-30,26955,503
Volyn Oblast,Ukraine,2021-01-30,36747,578
Zakarpattia Oblast,Ukraine,2021-01-30,31527,714
Zaporizhia Oblast,Ukraine,2021-01-30,65582,829
Zhytomyr Oblast,Ukraine,2021-01-30,44328,742
not provided,United Arab Emirates,2021-01-30,300661,838
Anguilla,United Kingdom,2021-01-30,16,0
Bermuda,United Kingdom,2021-01-30,691,12
British Virgin Islands,United Kingdom,2021-01-30,114,1
Cayman Islands,United Kingdom,2021-01-30,390,2
Channel Islands,United Kingdom,2021-01-30,3639,82
England,United Kingdom,2021-01-30,3322195,92920
Falkland Islands (Malvinas),United Kingdom,2021-01-30,41,0
Gibraltar,United Kingdom,2021-01-30,4108,75
Isle of Man,United Kingdom,2021-01-30,434,25
Montserrat,United Kingdom,2021-01-30,13,1
Northern Ireland,United Kingdom,2021-01-30,103534,1831
Scotland,United Kingdom,2021-01-30,178682,6100
Turks and Caicos Islands,United Kingdom,2021-01-30,1459,8
Unknown,United Kingdom,2021-01-30,0,0
Wales,United Kingdom,2021-01-30,191677,4720
not provided,Uruguay,2021-01-30,41181,431
not provided,Uzbekistan,2021-01-30,78711,621
not provided,Vanuatu,2021-01-30,1,0
not provided,Venezuela,2021-01-30,126323,1183
not provided,Vietnam,2021-01-30,1767,35
not provided,West Bank and Gaza,2021-01-30,158559,1831
not provided,Yemen,2021-01-30,2120,615
not provided,Zambia,2021-01-30,53352,745
not provided,Zimbabwe,2021-01-30,33273,1193
Wyoming,US,2021-01-30,51704,596
Wisconsin,US,2021-01-30,590997,6430
West Virginia,US,2021-01-30,120340,2015
Washington,US,2021-01-30,311597,4285
Virginia,US,2021-01-30,502221,6449
Virgin Islands,US,2021-01-30,2398,24
Vermont,US,2021-01-30,11831,173
Utah,US,2021-01-30,345430,1663
Texas,US,2021-01-30,2363266,36924
Tennessee,US,2021-01-30,724742,9574
South Dakota,US,2021-01-30,108070,1775
South Carolina,US,2021-01-30,439785,7014
Rhode Island,US,2021-01-30,114438,2154
Recovered,US,2021-01-30,0,0
Puerto Rico,US,2021-01-30,93406,1823
Pennsylvania,US,2021-01-30,842475,21562
Oregon,US,2021-01-30,142416,1957
Oklahoma,US,2021-01-30,386590,3504
Ohio,US,2021-01-30,892781,11121
Northern Mariana Islands,US,2021-01-30,132,2
North Dakota,US,2021-01-30,97561,1447
North Carolina,US,2021-01-30,752627,9287
New York,US,2021-01-30,1408698,43453
New Mexico,US,2021-01-30,173539,3265
New Jersey,US,2021-01-30,692543,21455
New Hampshire,US,2021-01-30,65362,1042
Nevada,US,2021-01-30,277349,4264
Nebraska,US,2021-01-30,190570,1920
Montana,US,2021-01-30,93762,1232
Missouri,US,2021-01-30,472942,7040
Mississippi,US,2021-01-30,274190,6018
Minnesota,US,2021-01-30,460819,6255
Michigan,US,2021-01-30,610138,15525
Massachusetts,US,2021-01-30,521360,14531
Maryland,US,2021-01-30,352726,7107
Maine,US,2021-01-30,39168,590
Louisiana,US,2021-01-30,397276,8801
Kentucky,US,2021-01-30,361115,3714
Kansas,US,2021-01-30,276956,3767
Iowa,US,2021-01-30,319110,4651
Indiana,US,2021-01-30,624959,9967
Illinois,US,2021-01-30,1123873,21213
Idaho,US,2021-01-30,162683,1725
Hawaii,US,2021-01-30,25994,406
Guam,US,2021-01-30,7579,129
Grand Princess,US,2021-01-30,103,3
Georgia,US,2021-01-30,905858,14196
Florida,US,2021-01-30,1713589,26360
District of Columbia,US,2021-01-30,36662,909
Diamond Princess,US,2021-01-30,49,0
Delaware,US,2021-01-30,77551,1081
Connecticut,US,2021-01-30,250023,7046
Colorado,US,2021-01-30,395019,5620
California,US,2021-01-30,3310949,40702
Arkansas,US,2021-01-30,294387,4838
Arizona,US,2021-01-30,753379,13098
Alaska,US,2021-01-30,54216,262
Alabama,US,2021-01-30,455582,7566
